2026-07-08 09:20:44,3_1_0_0,4,-2.0,3_1_0_0,0.999
2026-07-08 09:20:45,3_1_0_0,0,1.3222,3_0_0_0,0.998
2026-07-08 09:20:47,3_2_1_1,1,2.1667,3_0_1_1,0.997
2026-07-08 09:20:48,3_0_1_1,5,-3.0,3_3_1_1,0.996
2026-07-08 09:20:49,3_3_1_1,0,6.6472,3_2_1_1,0.995
2026-07-08 09:20:51,3_2_1_1,1,-4.3611,3_0_1_1,0.994
2026-07-08 09:20:55,3_5_1_0,4,3.5,3_5_1_0,0.993
2026-07-08 09:20:55,3_5_1_0,2,-13.75,3_5_1_0,0.992
2026-07-08 09:20:57,3_1_1_0,0,6.2528,3_0_1_0,0.991
2026-07-08 09:21:03,3_3_1_1,5,-3.0,3_3_1_1,0.99
2026-07-08 09:21:03,3_3_1_1,0,4.7933,3_2_1_1,0.9891
2026-07-08 09:21:12,3_7_1_1,0,6.8444,3_6_1_1,0.9881
2026-07-08 09:21:13,3_0_1_1,3,-41.2993,3_0_1_1,0.9871
2026-07-08 09:21:14,3_2_1_1,1,2.6019,3_0_1_1,0.9861
2026-07-08 09:21:16,3_4_1_0,2,-31.25,3_0_1_0,0.9851
2026-07-08 09:21:17,3_0_1_0,5,0.0,3_1_1_0,0.9841
2026-07-08 09:21:17,3_1_1_0,0,8.8167,3_0_0_0,0.9831
2026-07-08 09:21:19,3_1_0_0,3,-79.6261,3_1_0_0,0.9822
2026-07-08 09:21:19,3_1_1_0,0,8.2644,3_0_1_0,0.9812
2026-07-08 09:21:20,3_4_1_0,2,-23.0,2_0_1_0,0.9802
2026-07-08 09:21:21,2_1_1_0,0,6.6472,2_0_1_0,0.9792
2026-07-08 09:21:22,2_0_1_0,4,3.5,2_0_1_0,0.9782
2026-07-08 09:21:23,3_1_1_0,0,6.8444,1_0_1_0,0.9773
2026-07-08 09:21:24,1_2_1_1,1,-4.3611,0_0_0_1,0.9763
2026-07-08 09:21:43,1_1_1_0,0,4.7933,0_0_0_0,0.9753
